,statement,is_toxic
0,"-       struct net_device *ndev;
+       struct bcm_cfg80211 *cfg = NULL;",0
1,"- Captitalize
- Failed to execute $(hash | grep curl | tr -s ""\t"" "" "" | cut -d' ' -f 3) or something like that ?",0
2,"- device_class_ is a std::string.
- Will fix brace style.",0
3,"- elif
 - Nit: consider using end_message_not_printed instead (saves the negation).
 - Nit: consider flipping the order of the conjuncts (Boolean is cheaper).",0
4, probably better (even though nested structs are a bit ugly in Mojo),1
5,"- The write barrier also goes through trace_. It just goes there indirectly through the marking_worklist_.
 - trace_ should be equvialent to TraceTrait<T> for regular objects and TraceCollectionIfEnabled<WTF::kNoWeakHandling, T, Traits>::Trace for collections.
 
 We call trace_ instead of NotifyNewObjects because we know that it is a GC-ed object and we want a call.",0
6,"
I meant:  length() != 0
I typed too fast, too!! Silly me! 
",0
7,"!!parent_

is a typical shortform to ""cast to bool""",0
8,"!@#$!@#$. 

I did nuke it.",1
9,"!= NULL, or are you following jemalloc style?",0
10,!= nullptr,0
11,"!= nullptr
?",0
12,!= nullptr?,0
13,!== null or !!rootDir,0
14,!chromeos.machineLearning.mojom.PageHandlerProxy,0
15,!jdks.isEmpty,0
16,"!Map
!chromeos.machineLearning.mojom.GraphExecutorProxy",0
17,!network_id_.empty,0
18,"!rs.IsFloat implies !rs.IsDouble. Remove "" && !rs.IsDouble()""",0
19,!svc_can_list,0
20,"""$$f"" doesn't exist as we're not looping ofre the source files?",0
21,"""$@""",0
22,"""// Callback data"": useless comment. Doesn't tell me anything about how this member is being used. Please elaborate.",0
23,"""_testcapi"" is junk. I think that, at least on my Linux builder, it doesn't actually build, which is why I exclude it.",1
24,"""Abort Received"".equals(e1.getMessage()) to avoid problems if there is no message in the exception.",0
25,"""Already"" here implies that the ""kill()"" above was not involved in its death.  It's possible that the process exited due to the kill(), since StopProcessAndBlock doesn't know anything about the pid it is killing.  I'd therefore suggest instead that this message be ""Process <pid> has exited"", and that you use SLOG(this, 2) or something like that since this could be the normal case.  Are you sure you don't want to return true here?",0
26,"""--force"" makes sense in a command like

  cros_mark_as_stable -p foo/bar commit --force

but doesn't make much sense if you say

  cros_mark_as_stable --all commit --force

This becomes evident by the fact that your boolean in the lib is ""allow_blacklisted"" and not ""force"".

I'd prefer to not permit the option ""--all"" and ""--force"" in the same command as that's something you certainly don't want. You should always specify -p if you use ""--force""",0
27,"""killed"" is premature.  I think you mean ""killing"".",0
28,"""NDK"" and ""user written JNI"" are basically the same thing. we deliberately ship a ""too small"" sigaction for LP32 so everything works.

but, yes, basically the old guys fucked up and shipped the NDK with various types wrong. the most painful of which are sigset_t, off_t, and time_t. all of these are fixed in LP64, but there's nothing we can do for LP32 that doesn't break all non-platform native code.",1
29,"""no"" vars are generally bad. i'd suggest instead doing:
 
  newline=True",0
30,"""Notify"" is a terrible name for a function regarding signal handlers. Curse you, Go core package authors.",1
31,"""Numpty"" is extremely Britishy.  Please be less of an Englishman in the future.",1
32,"""nYAdvance is 0 since it is LTR (horizontal)""
duh... I knew that was a stupid question :-)",0
33,"""PartitionTable"" is already defined in generic_common, so you can actually say:
 
 To run this pytest with default arguments, add this in test list::
  {
  ""pytest_name"": ""partition_table""
  }
 
 This is also predefined in ``generic_common.test_list.json`` as ``PartitionTable``.
 
 If you can't expand stateful partition for some reason, override the argument by:
 
  {
  ""inherit"": ""PartitionTable"",
  ""args"": {
  ""expand_stateful"": false
  }
  }",0
34,"""pthread_create failed: %s"", strerror(ret) like always.

(or use <error.h>.)",0
35,"""refer to""?
 
 You seem talking about restrictions, but there are a lot more restrictions in the spec. We don't need to explain (all of) this kind of restrictions.",0
36,"""Sending SIGTERM to service '%s' (pid %d)..."" to match other logging. (having both the name and the pid is helpful when trying to work out what happened after the fact.)",0
37,"""submit asynchron ausloesen"" => trigger submit asynchron",0
38,# Convert defaultdict to dict for prettier yaml dumping.,0
39,"# Hack around decorators being applied before function is bound to class.
label_decorator = functools.partial(add_label_detector, _LABEL_FUNCTIONS, _DETECTABLE_LABELS)",0
40,# vAA <- a0,0
41,"#!/bin/sh

# LICENSE ....

...


why redirect stdout to /dev/null?",0
42,"#define's are generally evil. Use constants instead, which are closer to the C++ style:

const char kCmdStr[] = ""cmd"";",0
43,#endif   /* CONFIG_LID_ANGLE_TABLET_MODE */,0
44,#endif  # __ANDROID__,0
45,#endif /* __ANDROID__ */,0
46,#endif /* __LINUX_IFACE_STAT_H */,0
47,#endif /* LIBQMI_QMIDEV_MOCK_H */,0
48,#ifdef ART_ENABLE_CODEGEN_arm,0
49,"#ifdef CONFIG_CGROUP_CPUACCT
...
#else
static inline int <blah>
#endif",0
50,#ifdef CONFIG_DRM_MEDIATEK_FBDEV,0
51,#ifdef CONFIG_MTK_IOMMU,0
52,"#ifdef CONFIG_PM_RUNTIME

if you are feeling very anal about saving 1 byte...",1
53,"#ifdef HAVE_DISPLAY
 display_clear()
#endif",0
54,"#ifndef __LP64__
__notnull...?",0
55,"#include ""platform/wtf/Allocator.h"" for STATIC_ONLY.",0
56,"#include <stdbool.h>

bool*",0
57,"#include <stdbool.h>

static bool remount_ro(void)

Advantage is also something like 'return false' and 'return cnt < 50;' is enough.",0
58,"#include'd. (TextEncoding is in WTF, not in blink)",1
59,"#undef __
#undef QUICK_ENTRY_POINT",0
60,#veryhype #wow #muchbuttons #whycantiholdallthesebuttons,0
61,"$(basename $@).P
then you don't need PRIVATE_CPP_EXTENSION.",0
62,"$(call all-makefiles-under,$(LOCAL_PATH))
which is much cheaper than first-makefiles-under.",0
63,$(gb_UWINAPI) should not appear here,0
64,$(hide) MKBOOTIMG=$(BOARD_CUSTOM_MKBOOTIMG) ./build/tools/releasetools/ota_from_target_files ...,0
65,"$(LOCAL_BUILT_MODULE) : $(HOST_OUT_EXECUTABLES)/fs_config_generate_$(TARGET_DEVICE)
   mkdir -p $(dir $@)
   $< -F -o $@",0
66,"$(LOCAL_PATH)/libc

Better with:
include $(call all-makefiles-under,$(LOCAL_PATH)) \
        $(call all-makefiles-under,$(LOCAL_PATH)/libc)",0
67,$noinline$getSubclass,0
68,"$VALUES is the variable used by the values() implementation. It's what you get if you use reflection on an enum.  It's included in the dump as just another property, so I think it's fine to use it.",0
69,"%1$d %2$s

Also: Should we report ""uid"", does it help? How about something like

""Expected int value, instead got \""%1$s\"" in \""%2$s"", values.get(INDEX_OF_UID), line",0
70,"& 0xFF000000 is slightly more readable since the constant it's being compared to is the same as the one it's being or'd against in the else clause, though I'm not sure we should bother to let the switch value take a 3-byte form.

Perhaps a stupid example, but what if we want an alpha of 0?",0
71,& ADC_READ_MAX ?,0
72,&& !kArm32QuickCodeUseSoftFloat,0
73,(*This* spontaneous QtDesigner change annoys me more.),0
74,"(actually this function is entirely useless in python, since it does not have typed references but uses UNO reflection to call all methods anyway)",0
75,"(Another stupid compiler question) Is  this always in SSA form? If vreg can have different value from different incoming edges, is this always set to Phi instruction?",0
76,"(i think you're right to include this, but... yuck!)",1
77,"(If there's a set of member vars that is ""controlled"" by a mutex member var, I'd place them into a block of their own, with the mutex member var at the head of the block, as a means of documentation.)",0
78,(In an annoying middle school english teacher's high pitched voice) You're missing a period at the end of your sentences Appu!,1
79,(In an annoying middle school english teacher's high pitched voice) You're missing a period at the end of your sentences Appu!,0
80,"(It took me a month to understand what this code was supposed to do, so who is being stupid here?:).
First, I find out if the destination is 1 cell or a range, and if the source area is large than the selected destination area [1271-1279]. The largest area of these is taken for the comparisons [1282-1283], as this will be the actual destination area (copy/paste some blocks and you will see what I mean if my text is not clear).
The first comparison is whether source and destination area overlap [1284-1288]. When the source area contains references, these probably will go wrong when there is an overlap. As this may produce data loss (e.g. formulas that get wrong references), it _must_ be avoided. This code was there from the beginning, but with errors, disabling the wrong options. My first patch fixed only a part of that.
The second comparison [1294-1327] handles something else, the question whether shifting the cells in the destination area will fit on the sheet. This comparison is not necessary for integrity, but for user friendliness. Without the comparison, the user will get a message that the result will not fit and no harm is done. Rainer Bielefeld wanted the possibilty of fitting on the sheet reflected in the en/disabling of the shift options.
I do this check by going from the MAXCOL/MAXROW position back for the width/height of the destination area and checking if the cells are empty. If not, paste+shift will not fit and the appropiate shit option is disabled.
I feared a performance penalty with this method, but I tested it on an old. slow machine (complete build of Libreofiice takes 24hrs) with a destination area almost MAXROW high and that gave no noticeable delay.
But because of this performance penalty danger, i want you to have a good look at the code. Perhaps it will be safer to leave it out, perhaps there are more efficient ways to check the fitting.

I hope my proze give you the explanation you want.
Perhaps I should put some of it in the code as comment?",1
81,"(My last comment was @Dmitry Torokhov)

@Dmitry Shmidt: No, they aren't the same. That's the whole point of this bug report. drvdata != platdata.",0
82,(nit): You are inside the dwarf namespace so you don't need these.,0
83,(nit): You are inside the dwarf namespace so you don't need this.,0
84,"(none of us would care if you reformatted all of fastboot 2-space. most of us would be pleased, in fact. we just don't have the balls personally.)",1
85,"(optional) use ""this.signedIn_"" instead, since that's the actual property triggering this change handler",0
86,(or just remove this stupid comment.),1
87,(SIZE_MAX is the POSIX name for what really ought to have been SIZE_T_MAX...),0
88,"(somewhat awkward to have to specify M for every instantiation, and that D has to be specified in terms of the ""naked"" U type, when what it should represent is a value of the typed_flags<...> type)",0
89,(struct bcm_cfg80211 *cfg),0
